City,Crime_Description,Victim_Age,Victim_Gender,Weapon_Used,Case_Closed
Bhopal,ROBBERY,31,F,Blunt Object,Yes
Hyderabad,IDENTITY THEFT,24,F,Firearm,No
Kolkata,IDENTITY THEFT,76,F,Other,Yes
Delhi,DRUG OFFENSE,28,M,Poison,Yes
Ahmedabad,FRAUD,43,M,Firearm,Yes
Ludhiana,VANDALISM,70,F,Explosives,No
Chennai,CYBERCRIME,69,F,Explosives,No
Vasai,ASSAULT,54,M,Blunt Object,No
Mumbai,KIDNAPPING,59,F,Blunt Object,No
Kolkata,ARSON,41,F,None,No
Bangalore,KIDNAPPING,60,M,Knife,No
Mumbai,CYBERCRIME,74,F,Firearm,Yes
Mumbai,PUBLIC INTOXICATION,23,M,Poison,No
Chennai,ASSAULT,32,F,Explosives,Yes
Thane,COUNTERFEITING,79,M,None,Yes
Kolkata,COUNTERFEITING,40,F,None,No
Bangalore,TRAFFIC VIOLATION,63,M,Firearm,Yes
Chennai,BURGLARY,67,F,Other,No
Mumbai,ARSON,16,F,Firearm,No
Ahmedabad,COUNTERFEITING,48,F,Blunt Object,Yes
Srinagar,COUNTERFEITING,53,M,Explosives,No
Pune,SEXUAL ASSAULT,71,F,Explosives,No
Pune,IDENTITY THEFT,67,F,Firearm,Yes
Surat,KIDNAPPING,52,F,Blunt Object,No
Delhi,FRAUD,76,M,Blunt Object,Yes
Kolkata,SEXUAL ASSAULT,29,M,Poison,No
Surat,DOMESTIC VIOLENCE,42,M,Explosives,No
Mumbai,SHOPLIFTING,67,F,Explosives,No
Chennai,COUNTERFEITING,18,F,Blunt Object,No
Mumbai,ILLEGAL POSSESSION,36,F,Knife,Yes
Delhi,ARSON,59,F,Other,Yes
Delhi,SEXUAL ASSAULT,47,M,Other,Yes
Mumbai,FRAUD,34,M,None,Yes
Mumbai,ASSAULT,63,M,Blunt Object,Yes
Jaipur,VANDALISM,37,M,Firearm,No
Hyderabad,PUBLIC INTOXICATION,46,M,Poison,No
Hyderabad,IDENTITY THEFT,13,M,Poison,No
Pune,FRAUD,55,F,Poison,Yes
Visakhapatnam,DRUG OFFENSE,31,F,Poison,No
Delhi,FRAUD,70,F,Firearm,No
Agra,ILLEGAL POSSESSION,24,M,Other,No
Mumbai,VEHICLE - STOLEN,28,M,Poison,No
Visakhapatnam,ROBBERY,77,F,Firearm,No
Vasai,COUNTERFEITING,24,M,Explosives,Yes
Mumbai,SEXUAL ASSAULT,25,M,None,Yes
Nagpur,ARSON,20,M,Explosives,Yes
Pune,IDENTITY THEFT,76,M,Firearm,Yes
Ahmedabad,ROBBERY,54,M,Blunt Object,Yes
Ahmedabad,VEHICLE - STOLEN,65,F,Blunt Object,No
Surat,SEXUAL ASSAULT,20,F,Firearm,Yes
Visakhapatnam,SEXUAL ASSAULT,70,F,None,Yes
Bangalore,DRUG OFFENSE,48,M,None,No
Mumbai,CYBERCRIME,79,M,Other,Yes
Chennai,VEHICLE - STOLEN,11,F,Explosives,Yes
Nagpur,IDENTITY THEFT,34,F,Firearm,Yes
Delhi,ROBBERY,16,F,None,Yes
Thane,EXTORTION,32,F,Firearm,Yes
Bangalore,EXTORTION,40,M,Knife,No
Hyderabad,VEHICLE - STOLEN,11,F,Other,No
Chennai,FIREARM OFFENSE,73,M,Knife,No
Bhopal,ARSON,26,M,Blunt Object,No
Pune,BURGLARY,76,F,Poison,Yes
Bangalore,ASSAULT,34,F,Knife,Yes
Delhi,IDENTITY THEFT,20,M,Knife,No
Chennai,SHOPLIFTING,74,M,Explosives,No
Mumbai,SHOPLIFTING,64,M,Poison,Yes
Pune,FIREARM OFFENSE,69,M,Knife,No
Ahmedabad,SEXUAL ASSAULT,68,M,Explosives,No
Pune,KIDNAPPING,36,F,Blunt Object,Yes
Chennai,ARSON,34,F,Poison,Yes
Patna,ROBBERY,69,F,Poison,No
Delhi,HOMICIDE,62,F,Other,Yes
Pune,VANDALISM,45,F,Explosives,No
Delhi,ROBBERY,61,F,Firearm,No
Visakhapatnam,VEHICLE - STOLEN,44,M,Blunt Object,Yes
Surat,FRAUD,77,M,Knife,Yes
Delhi,KIDNAPPING,33,F,Explosives,Yes
Delhi,TRAFFIC VIOLATION,52,M,Poison,No
Mumbai,DRUG OFFENSE,19,M,Poison,No
Hyderabad,ARSON,60,F,Poison,Yes
Kolkata,CYBERCRIME,29,M,Firearm,No
Hyderabad,ROBBERY,12,F,None,Yes
Ahmedabad,VANDALISM,76,F,Explosives,No
Visakhapatnam,FRAUD,73,F,Knife,Yes
Surat,VANDALISM,38,M,None,Yes
Ludhiana,SEXUAL ASSAULT,52,F,Knife,Yes
Ahmedabad,CYBERCRIME,74,M,None,No
Chennai,SEXUAL ASSAULT,13,M,Knife,No
Hyderabad,IDENTITY THEFT,40,M,Other,Yes
Hyderabad,KIDNAPPING,79,M,None,No
Srinagar,VANDALISM,17,M,Other,No
Meerut,IDENTITY THEFT,59,M,Other,Yes
Mumbai,FRAUD,32,F,Knife,No
Thane,FRAUD,47,F,Blunt Object,Yes
Delhi,CYBERCRIME,56,F,None,Yes
Ludhiana,KIDNAPPING,13,F,Other,No
Pune,ASSAULT,25,F,Explosives,Yes
Hyderabad,DOMESTIC VIOLENCE,52,M,Explosives,Yes
Surat,DOMESTIC VIOLENCE,31,F,Explosives,Yes
Delhi,ILLEGAL POSSESSION,68,F,Explosives,No
Kanpur,COUNTERFEITING,32,F,Blunt Object,Yes
Pune,CYBERCRIME,78,F,Explosives,No
Hyderabad,DRUG OFFENSE,43,F,Other,Yes
Jaipur,ARSON,53,F,Explosives,Yes
Bangalore,ILLEGAL POSSESSION,70,F,Poison,No
Faridabad,HOMICIDE,79,M,Knife,No
Bangalore,SHOPLIFTING,40,F,Knife,No
Kolkata,VANDALISM,72,F,Other,Yes
Mumbai,COUNTERFEITING,10,F,Blunt Object,No
Bangalore,SHOPLIFTING,41,F,None,No
Lucknow,VEHICLE - STOLEN,29,F,Other,Yes
Chennai,ROBBERY,64,F,Blunt Object,Yes
Surat,KIDNAPPING,64,M,Firearm,No
Bangalore,PUBLIC INTOXICATION,68,M,Firearm,No
Ahmedabad,ILLEGAL POSSESSION,64,F,Firearm,Yes
Delhi,DOMESTIC VIOLENCE,54,F,Explosives,Yes
Mumbai,KIDNAPPING,44,F,Firearm,Yes
Kanpur,COUNTERFEITING,62,M,Other,Yes
Mumbai,COUNTERFEITING,17,M,Poison,Yes
Mumbai,ASSAULT,15,F,None,Yes
Bangalore,CYBERCRIME,29,F,None,Yes
Ahmedabad,COUNTERFEITING,41,F,Knife,Yes
Kolkata,DOMESTIC VIOLENCE,13,F,Poison,Yes
Bangalore,KIDNAPPING,39,M,Blunt Object,Yes
Delhi,KIDNAPPING,45,F,Blunt Object,No
Visakhapatnam,ROBBERY,57,F,Explosives,Yes
Jaipur,ILLEGAL POSSESSION,22,F,Explosives,No
Bangalore,ARSON,59,F,Poison,Yes
Delhi,SEXUAL ASSAULT,77,F,Blunt Object,No
Delhi,SEXUAL ASSAULT,73,F,Firearm,Yes
Pune,FRAUD,22,F,Blunt Object,Yes
Vasai,BURGLARY,70,M,Other,Yes
Delhi,IDENTITY THEFT,64,F,Blunt Object,Yes
Chennai,SEXUAL ASSAULT,66,F,None,Yes
Srinagar,FRAUD,17,M,Other,No
Delhi,ARSON,24,F,Blunt Object,Yes
Patna,EXTORTION,75,F,Firearm,Yes
Hyderabad,EXTORTION,40,F,Blunt Object,No
Meerut,BURGLARY,74,M,Blunt Object,Yes
Kolkata,KIDNAPPING,38,F,Firearm,No
Kolkata,ILLEGAL POSSESSION,69,M,Other,Yes
Nagpur,KIDNAPPING,68,M,Explosives,Yes
Surat,COUNTERFEITING,64,F,Other,Yes
Mumbai,SEXUAL ASSAULT,32,F,Other,Yes
Chennai,IDENTITY THEFT,69,F,Knife,No
Delhi,CYBERCRIME,26,F,Firearm,No
Bangalore,DRUG OFFENSE,19,F,None,No
Bangalore,TRAFFIC VIOLATION,68,M,Explosives,Yes
Kolkata,EXTORTION,26,F,Other,No
Delhi,FRAUD,57,F,Explosives,No
Vasai,DRUG OFFENSE,24,M,Poison,No
Lucknow,VEHICLE - STOLEN,46,F,Explosives,No
Mumbai,FRAUD,66,F,Knife,Yes
Kanpur,ILLEGAL POSSESSION,17,M,Firearm,Yes
Jaipur,VANDALISM,77,F,None,Yes
Kanpur,COUNTERFEITING,53,F,Poison,Yes
Ahmedabad,EXTORTION,10,F,None,No
Delhi,CYBERCRIME,29,M,Poison,No
Hyderabad,PUBLIC INTOXICATION,74,F,Blunt Object,No
Mumbai,FIREARM OFFENSE,59,F,None,Yes
Pune,SEXUAL ASSAULT,69,F,Other,No
Delhi,COUNTERFEITING,23,F,Other,Yes
Kolkata,DRUG OFFENSE,20,F,Blunt Object,Yes
Rajkot,PUBLIC INTOXICATION,57,F,Knife,No
Pune,IDENTITY THEFT,29,F,Knife,No
Delhi,TRAFFIC VIOLATION,61,F,Firearm,No
Kolkata,ASSAULT,23,F,Firearm,No
Ahmedabad,SEXUAL ASSAULT,34,M,Poison,Yes
Mumbai,TRAFFIC VIOLATION,19,M,Poison,No
Hyderabad,BURGLARY,34,F,Poison,Yes
Ghaziabad,VEHICLE - STOLEN,55,F,Explosives,Yes
Surat,EXTORTION,38,F,None,Yes
Delhi,KIDNAPPING,27,F,Blunt Object,No
Thane,VEHICLE - STOLEN,32,F,Blunt Object,No
Kanpur,CYBERCRIME,58,M,Firearm,No
Thane,CYBERCRIME,67,F,Knife,Yes
Delhi,VANDALISM,26,F,Explosives,Yes
Delhi,HOMICIDE,25,M,Firearm,No
Ahmedabad,SHOPLIFTING,12,F,None,No
Mumbai,DOMESTIC VIOLENCE,59,F,Blunt Object,Yes
Delhi,VANDALISM,34,F,Poison,No
Chennai,KIDNAPPING,78,F,Firearm,No
Delhi,FIREARM OFFENSE,70,M,Blunt Object,No
Mumbai,FRAUD,47,F,Other,Yes
Mumbai,ARSON,35,M,Knife,Yes
Kanpur,COUNTERFEITING,23,F,Poison,Yes
Chennai,CYBERCRIME,28,M,Poison,No
Kanpur,SHOPLIFTING,64,M,Knife,Yes
Kolkata,CYBERCRIME,67,F,Explosives,No
Nashik,DOMESTIC VIOLENCE,23,F,Knife,No
Lucknow,ILLEGAL POSSESSION,28,F,Firearm,Yes
Lucknow,DRUG OFFENSE,79,M,None,No
Bangalore,ROBBERY,38,M,Other,No
Agra,PUBLIC INTOXICATION,61,F,Other,Yes
Mumbai,SHOPLIFTING,70,F,Firearm,Yes
Srinagar,BURGLARY,19,M,Other,No
Delhi,ROBBERY,55,F,Explosives,No
Jaipur,CYBERCRIME,27,M,Knife,Yes
Bangalore,ASSAULT,66,M,Knife,Yes
Indore,HOMICIDE,37,F,None,Yes
Surat,ARSON,49,M,Other,Yes
Lucknow,CYBERCRIME,59,F,Other,No
Hyderabad,SEXUAL ASSAULT,27,F,Blunt Object,Yes
Kalyan,EXTORTION,20,M,Other,Yes
Surat,ILLEGAL POSSESSION,49,M,Blunt Object,Yes
Nashik,ARSON,43,F,Firearm,Yes
Jaipur,PUBLIC INTOXICATION,64,F,Knife,No
Jaipur,BURGLARY,37,M,Other,Yes
Chennai,SEXUAL ASSAULT,17,F,None,No
Mumbai,IDENTITY THEFT,68,F,Other,No
Chennai,DOMESTIC VIOLENCE,66,F,Firearm,Yes
Chennai,CYBERCRIME,19,F,Knife,No
Jaipur,DRUG OFFENSE,62,M,Blunt Object,No
Chennai,DRUG OFFENSE,55,F,None,No
Agra,SEXUAL ASSAULT,64,F,Other,No
Thane,FRAUD,60,M,Poison,No
Kolkata,FIREARM OFFENSE,14,F,Blunt Object,Yes
Kolkata,EXTORTION,50,F,Other,Yes
Indore,KIDNAPPING,21,F,None,No
Jaipur,VANDALISM,58,F,Explosives,Yes
Bhopal,SHOPLIFTING,68,M,Firearm,Yes
Jaipur,FIREARM OFFENSE,51,F,Blunt Object,Yes
Ludhiana,DOMESTIC VIOLENCE,66,M,None,Yes
Nagpur,FRAUD,40,F,Knife,No
Delhi,IDENTITY THEFT,77,F,None,Yes
Kolkata,SHOPLIFTING,31,F,Poison,Yes
Delhi,PUBLIC INTOXICATION,56,M,Knife,Yes
Delhi,FIREARM OFFENSE,57,F,Knife,Yes
Ludhiana,FRAUD,63,M,Blunt Object,Yes
Bangalore,ASSAULT,50,F,Other,Yes
Hyderabad,ROBBERY,46,F,Other,No
Delhi,SHOPLIFTING,52,F,Poison,No
Ludhiana,HOMICIDE,45,F,Other,No
Nagpur,EXTORTION,62,F,Firearm,Yes
Kolkata,IDENTITY THEFT,77,F,Poison,No
Kolkata,HOMICIDE,31,F,None,No
Kolkata,ASSAULT,63,M,Blunt Object,No
Agra,BURGLARY,39,M,Blunt Object,Yes
Ludhiana,BURGLARY,23,M,Blunt Object,No
Jaipur,IDENTITY THEFT,70,M,Blunt Object,Yes
Patna,FIREARM OFFENSE,27,F,Blunt Object,No
Delhi,ARSON,16,F,Blunt Object,No
Hyderabad,SHOPLIFTING,19,F,Explosives,Yes
Mumbai,TRAFFIC VIOLATION,32,F,Poison,Yes
Bhopal,KIDNAPPING,54,M,Other,No
Bangalore,DRUG OFFENSE,51,F,None,No
Bangalore,IDENTITY THEFT,26,M,Explosives,Yes
Ghaziabad,CYBERCRIME,54,F,Explosives,No
Kolkata,KIDNAPPING,32,M,None,Yes
Ludhiana,EXTORTION,24,F,Firearm,Yes
Bangalore,COUNTERFEITING,10,F,Poison,No
Hyderabad,IDENTITY THEFT,10,M,Blunt Object,Yes
Delhi,VEHICLE - STOLEN,37,F,Poison,No
Mumbai,ASSAULT,27,F,Other,Yes
Chennai,VANDALISM,47,M,Poison,No
Bangalore,SHOPLIFTING,37,F,Firearm,No
Ludhiana,ARSON,71,F,Other,Yes
Hyderabad,KIDNAPPING,31,F,Knife,Yes
Lucknow,BURGLARY,64,F,Blunt Object,No
Surat,PUBLIC INTOXICATION,45,F,None,No
Ahmedabad,TRAFFIC VIOLATION,60,F,None,No
Visakhapatnam,DOMESTIC VIOLENCE,43,M,Poison,No
Faridabad,IDENTITY THEFT,53,M,Other,No
Kolkata,COUNTERFEITING,44,F,Firearm,Yes
Nagpur,PUBLIC INTOXICATION,68,F,Knife,No
Chennai,DOMESTIC VIOLENCE,73,F,Blunt Object,No
Pune,COUNTERFEITING,55,F,Knife,No
Nagpur,SHOPLIFTING,35,F,None,Yes
Indore,IDENTITY THEFT,75,F,Blunt Object,Yes
Kolkata,EXTORTION,78,F,Blunt Object,Yes
Hyderabad,ARSON,78,F,Firearm,Yes
Bhopal,SHOPLIFTING,41,M,Blunt Object,Yes
Kolkata,CYBERCRIME,48,F,Knife,Yes
Delhi,EXTORTION,75,M,Blunt Object,No
Hyderabad,SHOPLIFTING,74,F,Explosives,Yes
Ludhiana,FRAUD,35,F,Firearm,Yes
Hyderabad,ASSAULT,43,F,Knife,No
Srinagar,FIREARM OFFENSE,38,M,Knife,No
Srinagar,CYBERCRIME,49,F,Firearm,Yes
Delhi,HOMICIDE,71,M,Poison,No
Bangalore,VANDALISM,77,F,None,No
Kanpur,EXTORTION,76,F,Blunt Object,Yes
Delhi,ILLEGAL POSSESSION,66,F,Explosives,Yes
Mumbai,VEHICLE - STOLEN,63,F,Knife,No
Kolkata,SHOPLIFTING,47,F,None,Yes
Faridabad,DOMESTIC VIOLENCE,54,M,Firearm,Yes
Delhi,EXTORTION,63,M,Explosives,Yes
Kolkata,VEHICLE - STOLEN,58,F,Blunt Object,No
Delhi,EXTORTION,79,F,Poison,Yes
Lucknow,FIREARM OFFENSE,50,F,Blunt Object,Yes
Chennai,ASSAULT,56,M,Blunt Object,No
Ahmedabad,COUNTERFEITING,43,F,Firearm,Yes
Jaipur,PUBLIC INTOXICATION,50,M,None,Yes
Bangalore,PUBLIC INTOXICATION,17,M,Other,No
Lucknow,COUNTERFEITING,62,M,Explosives,Yes
Ahmedabad,ASSAULT,48,F,Blunt Object,No
Indore,VEHICLE - STOLEN,26,F,Firearm,Yes
Delhi,BURGLARY,31,M,Explosives,No
Delhi,DOMESTIC VIOLENCE,51,F,Knife,Yes
Hyderabad,HOMICIDE,17,F,Knife,Yes
Delhi,KIDNAPPING,70,M,Knife,No
Hyderabad,ROBBERY,27,M,Blunt Object,No
Surat,DOMESTIC VIOLENCE,51,F,Knife,Yes
Bangalore,IDENTITY THEFT,68,F,Explosives,Yes
Delhi,VEHICLE - STOLEN,33,F,Firearm,No
Pune,DOMESTIC VIOLENCE,47,M,Explosives,Yes
Visakhapatnam,TRAFFIC VIOLATION,69,F,Firearm,No
Chennai,FIREARM OFFENSE,75,F,Other,No
Kanpur,ROBBERY,50,F,Poison,Yes
Kolkata,CYBERCRIME,74,F,Other,No
Delhi,CYBERCRIME,26,F,Knife,No
Rajkot,IDENTITY THEFT,62,M,Firearm,Yes
Thane,VEHICLE - STOLEN,28,F,Other,Yes
Chennai,EXTORTION,11,M,Other,No
Hyderabad,COUNTERFEITING,23,M,Poison,Yes
Delhi,FIREARM OFFENSE,45,M,Blunt Object,No
Ahmedabad,FRAUD,57,M,Explosives,No
Chennai,CYBERCRIME,56,M,Explosives,Yes
Kolkata,FRAUD,33,M,Explosives,No
Kolkata,ASSAULT,12,F,Knife,No
Mumbai,TRAFFIC VIOLATION,13,F,Poison,No
Pune,ARSON,52,F,Knife,Yes
Ahmedabad,DRUG OFFENSE,22,M,None,Yes
Hyderabad,BURGLARY,35,F,Poison,Yes
Thane,DOMESTIC VIOLENCE,67,F,Blunt Object,Yes
Nagpur,FRAUD,18,M,Blunt Object,Yes
Kolkata,KIDNAPPING,64,F,Blunt Object,Yes
Delhi,ASSAULT,18,M,Poison,Yes
Bhopal,SHOPLIFTING,70,F,Knife,Yes
Thane,FRAUD,56,M,Other,No
Patna,ASSAULT,60,F,Blunt Object,Yes
Delhi,CYBERCRIME,29,M,Poison,No
Bangalore,EXTORTION,63,F,Firearm,Yes
Hyderabad,ARSON,75,F,Firearm,No
Patna,BURGLARY,19,F,Blunt Object,No
Kolkata,VEHICLE - STOLEN,38,F,Blunt Object,Yes
Bangalore,CYBERCRIME,28,F,None,Yes
Mumbai,ROBBERY,45,F,Knife,Yes
Mumbai,VANDALISM,29,M,Firearm,Yes
Nagpur,ILLEGAL POSSESSION,12,M,Explosives,No
Agra,TRAFFIC VIOLATION,46,F,Other,No
Delhi,DOMESTIC VIOLENCE,28,F,Explosives,Yes
Delhi,KIDNAPPING,49,F,Explosives,Yes
Pune,ILLEGAL POSSESSION,31,M,Knife,Yes
Hyderabad,KIDNAPPING,38,F,Knife,Yes
Pune,VANDALISM,32,F,Knife,No
Delhi,BURGLARY,61,F,Explosives,No
Agra,ILLEGAL POSSESSION,59,F,Blunt Object,No
Mumbai,VANDALISM,43,F,Explosives,Yes
Nagpur,BURGLARY,32,M,Other,Yes
Kolkata,SEXUAL ASSAULT,79,M,None,Yes
Kolkata,ROBBERY,79,M,Explosives,Yes
Lucknow,DOMESTIC VIOLENCE,74,F,Explosives,Yes
Bhopal,ILLEGAL POSSESSION,23,M,Explosives,No
Delhi,PUBLIC INTOXICATION,79,F,Explosives,Yes
Kolkata,TRAFFIC VIOLATION,28,M,Blunt Object,Yes
Chennai,SEXUAL ASSAULT,11,M,Other,No
Mumbai,PUBLIC INTOXICATION,53,F,Explosives,No
Hyderabad,FIREARM OFFENSE,59,M,Blunt Object,Yes
Jaipur,IDENTITY THEFT,44,F,Knife,No
Kolkata,DRUG OFFENSE,29,M,Poison,No
Hyderabad,SHOPLIFTING,58,F,Firearm,Yes
Delhi,ILLEGAL POSSESSION,17,M,Explosives,Yes
Nagpur,VEHICLE - STOLEN,29,F,Poison,No
Nashik,PUBLIC INTOXICATION,72,F,Knife,No
Bhopal,ASSAULT,23,F,Other,Yes
Chennai,COUNTERFEITING,27,F,Firearm,Yes
Mumbai,PUBLIC INTOXICATION,68,M,Blunt Object,Yes
Chennai,EXTORTION,16,F,Poison,Yes
Delhi,CYBERCRIME,12,F,Explosives,No
Ahmedabad,DOMESTIC VIOLENCE,76,F,Explosives,No
Delhi,ASSAULT,26,F,Firearm,Yes
Surat,BURGLARY,50,M,Poison,No
Mumbai,FRAUD,38,F,Other,No
Ahmedabad,DOMESTIC VIOLENCE,34,F,Blunt Object,No
Hyderabad,DOMESTIC VIOLENCE,63,F,Knife,No
Ghaziabad,CYBERCRIME,51,F,Other,No
Delhi,DRUG OFFENSE,37,F,Blunt Object,No
Delhi,ROBBERY,61,F,Explosives,No
Patna,VANDALISM,37,M,Knife,No
Mumbai,ILLEGAL POSSESSION,61,M,Firearm,Yes
Thane,ROBBERY,55,F,Knife,Yes
Bangalore,FIREARM OFFENSE,15,F,Blunt Object,No
Mumbai,FIREARM OFFENSE,56,F,Poison,No
Bangalore,CYBERCRIME,67,F,Firearm,No
Hyderabad,VANDALISM,65,M,Knife,No
Vasai,TRAFFIC VIOLATION,25,F,Other,No
Jaipur,FRAUD,29,M,Poison,Yes
Mumbai,DRUG OFFENSE,52,M,Explosives,No
Bangalore,KIDNAPPING,42,M,Blunt Object,No
Kanpur,VEHICLE - STOLEN,22,M,None,Yes
Pune,IDENTITY THEFT,38,F,Explosives,No
Jaipur,HOMICIDE,53,F,None,Yes
Bhopal,TRAFFIC VIOLATION,62,M,Other,Yes
Chennai,FRAUD,20,F,Explosives,Yes
Kolkata,ILLEGAL POSSESSION,13,F,Blunt Object,Yes
Delhi,EXTORTION,59,F,Poison,Yes
Chennai,ILLEGAL POSSESSION,36,M,Explosives,No
Mumbai,DOMESTIC VIOLENCE,35,F,Other,Yes
Ludhiana,VANDALISM,35,F,Poison,No
Surat,ASSAULT,53,F,Explosives,Yes
Srinagar,VEHICLE - STOLEN,78,F,Knife,No
Pune,IDENTITY THEFT,73,F,Knife,No
Mumbai,COUNTERFEITING,48,F,Firearm,No
Kolkata,ILLEGAL POSSESSION,14,F,None,No
Delhi,VEHICLE - STOLEN,41,F,Blunt Object,No
Pune,FRAUD,32,F,Firearm,Yes
Bangalore,DRUG OFFENSE,30,M,Knife,Yes
Delhi,FIREARM OFFENSE,15,F,Explosives,Yes
Bangalore,ILLEGAL POSSESSION,31,F,Blunt Object,Yes
Hyderabad,TRAFFIC VIOLATION,23,M,None,Yes
Hyderabad,PUBLIC INTOXICATION,22,F,Other,No
Mumbai,HOMICIDE,74,F,Knife,No
Varanasi,ILLEGAL POSSESSION,75,F,Poison,No
Indore,FIREARM OFFENSE,25,F,Firearm,Yes
Nagpur,ROBBERY,33,M,Firearm,No
Lucknow,DOMESTIC VIOLENCE,68,F,Blunt Object,Yes
Thane,DOMESTIC VIOLENCE,33,F,Explosives,No
Surat,DRUG OFFENSE,60,M,Firearm,No
Bangalore,SHOPLIFTING,12,F,Other,Yes
Patna,ASSAULT,74,M,Poison,Yes
Bangalore,COUNTERFEITING,77,F,Blunt Object,Yes
Bangalore,TRAFFIC VIOLATION,63,F,Firearm,No
Chennai,DRUG OFFENSE,76,M,None,No
Varanasi,HOMICIDE,21,M,Knife,No
Rajkot,CYBERCRIME,63,F,Knife,No
Bangalore,CYBERCRIME,42,F,Knife,Yes
Ahmedabad,SEXUAL ASSAULT,14,F,Explosives,Yes
Delhi,PUBLIC INTOXICATION,68,M,Poison,Yes
Lucknow,SHOPLIFTING,40,F,Blunt Object,No
Delhi,SEXUAL ASSAULT,36,F,None,Yes
Bhopal,FRAUD,44,F,Knife,No
Vasai,PUBLIC INTOXICATION,41,F,Other,Yes
Kalyan,ROBBERY,48,F,Explosives,Yes
Surat,DOMESTIC VIOLENCE,68,F,Poison,Yes
Varanasi,ROBBERY,42,F,None,Yes
Visakhapatnam,SEXUAL ASSAULT,66,F,Blunt Object,Yes
Kolkata,TRAFFIC VIOLATION,52,F,Blunt Object,Yes
Delhi,ILLEGAL POSSESSION,11,F,Knife,No
Ahmedabad,DRUG OFFENSE,36,F,Explosives,Yes
Pune,HOMICIDE,43,M,Explosives,No
Agra,KIDNAPPING,17,F,Knife,Yes
Chennai,HOMICIDE,79,F,Knife,No
Mumbai,DRUG OFFENSE,74,F,Poison,No
Delhi,ARSON,46,F,Other,Yes
Hyderabad,DRUG OFFENSE,63,F,Explosives,Yes
Hyderabad,SEXUAL ASSAULT,12,M,Firearm,No
Kolkata,ROBBERY,46,M,Knife,No
Kolkata,SEXUAL ASSAULT,36,F,Knife,Yes
Delhi,DRUG OFFENSE,35,M,Other,Yes
Delhi,ILLEGAL POSSESSION,18,M,Knife,Yes
Jaipur,ROBBERY,25,F,Knife,No
Mumbai,KIDNAPPING,10,F,Firearm,No
Pune,DRUG OFFENSE,32,F,Explosives,No
Kanpur,ARSON,57,F,Poison,No
Kolkata,EXTORTION,61,F,None,No
Chennai,COUNTERFEITING,26,M,Knife,Yes
Surat,FIREARM OFFENSE,27,M,None,Yes
Ahmedabad,SHOPLIFTING,17,F,Firearm,No
Lucknow,ARSON,38,F,None,No
Delhi,HOMICIDE,42,F,Poison,Yes
Agra,IDENTITY THEFT,50,F,None,No
Nashik,IDENTITY THEFT,36,F,None,Yes
Mumbai,DRUG OFFENSE,72,M,None,No
Hyderabad,IDENTITY THEFT,66,M,Poison,No
Visakhapatnam,FRAUD,47,F,Other,No
Hyderabad,PUBLIC INTOXICATION,77,F,Firearm,No
Ghaziabad,VANDALISM,59,F,Explosives,No
Jaipur,FIREARM OFFENSE,67,M,Firearm,No
Hyderabad,KIDNAPPING,61,F,None,Yes
Lucknow,VEHICLE - STOLEN,57,F,Knife,No
Ghaziabad,VEHICLE - STOLEN,65,F,Explosives,Yes
Patna,ILLEGAL POSSESSION,59,M,Poison,No
Patna,BURGLARY,44,F,Blunt Object,Yes
Mumbai,ROBBERY,45,F,None,No
Bangalore,VANDALISM,34,F,Explosives,No
Mumbai,ILLEGAL POSSESSION,74,M,Knife,Yes
Jaipur,VANDALISM,17,F,Firearm,Yes
Delhi,ROBBERY,62,M,Firearm,No
Pune,TRAFFIC VIOLATION,45,F,Poison,No
Ghaziabad,IDENTITY THEFT,31,F,Poison,No
Hyderabad,HOMICIDE,70,F,Blunt Object,Yes
Thane,DOMESTIC VIOLENCE,56,M,Other,No
Mumbai,CYBERCRIME,30,F,Poison,Yes
Pune,BURGLARY,16,F,None,Yes
Kolkata,PUBLIC INTOXICATION,25,M,Poison,Yes
Surat,HOMICIDE,40,F,None,Yes
Visakhapatnam,ILLEGAL POSSESSION,44,M,Knife,Yes
Kalyan,DRUG OFFENSE,25,M,Blunt Object,No
Mumbai,PUBLIC INTOXICATION,50,F,Poison,No
Patna,FRAUD,24,F,Firearm,No
Mumbai,DRUG OFFENSE,25,F,Knife,No
Faridabad,ROBBERY,29,M,Firearm,Yes
Kolkata,DRUG OFFENSE,78,F,Other,No
Delhi,VANDALISM,59,F,Explosives,Yes
Ahmedabad,PUBLIC INTOXICATION,16,F,Blunt Object,Yes
Kanpur,DRUG OFFENSE,62,M,Poison,Yes
Delhi,HOMICIDE,39,F,Other,No
Bangalore,DOMESTIC VIOLENCE,37,F,Knife,Yes
Ahmedabad,ASSAULT,54,F,None,Yes
Mumbai,DRUG OFFENSE,74,M,Knife,No
Agra,IDENTITY THEFT,25,F,Explosives,No
Hyderabad,ARSON,72,F,None,Yes
Delhi,VANDALISM,24,M,Knife,No
Nashik,KIDNAPPING,69,M,Firearm,Yes
Kanpur,IDENTITY THEFT,48,F,Other,No
Delhi,VEHICLE - STOLEN,39,M,Explosives,No
Delhi,SEXUAL ASSAULT,37,F,None,No
Bangalore,COUNTERFEITING,46,F,Poison,Yes
Mumbai,VANDALISM,70,F,Poison,Yes
Chennai,FIREARM OFFENSE,70,M,Blunt Object,No
Ludhiana,ROBBERY,20,F,Firearm,No
Chennai,ILLEGAL POSSESSION,52,F,Blunt Object,No
